question,expected_answer,generated_answer,exact_match,semantic_similarity,rouge1,rougeL,bleu,meteor,bert_f1,f1_score
"According to Merle Travis, what is Western swing?","According to Merle Travis, Western swing is a group of talented country boys, unschooled in music, but playing the music they feel, beating a solid two-four rhythm to the harmonies that buzz around their brains.","According to Merle Travis, Western swing is a group of talented country musicians playing the music they feel. They play with a solid two-four rhythm to the harmonies that buzz around their brains. When it escapes in all its musical glory, that's Western swing.",0,0.9399,0.7805,0.7317,0.5523,0.8021,0.6295,0.7324
What is 'jacking' in the context of house music?,"Jacking involves moving the torso forward and backward in a rippling motion matching to the beat of the music, as if a wave were passing through it.","""Jacking"" is one of the primary elements in house dancing, created in the early days of Chicago house music. It involves moving the torso forward and backward in a rippling motion matching the beat of the music. It's as if a wave were passing through it.",0,0.8014,0.7027,0.7027,0.4317,0.8296,0.6262,0.7119
What are some alternative names for the Florida breaks genre?,"The Florida breaks genre may also be referred to as The Orlando Sound, Orlando breaks, or The Breaks.","Florida breaks may also be referred to as The Orlando Sound, Orlando breaks, or The Breaks. These names are all used to describe the same genre of breakbeat dance music. The genre originated in the central region of Florida, United States.",0,0.9356,0.6102,0.5424,0.342,0.8107,0.5737,0.625
"What is break-beat DJing, and who invented it?",Break-beat DJing is a technique of extending the break of a song indefinitely by using two of the same record and switching between them using a DJ mixer. It was invented by Kool Herc.,Break-beat DJing involves isolating and repeating the breaks of funk songs. Kool Herc invented this technique as a way to extend the break indefinitely. He did this by using two of the same records and switching between them.,0,0.9082,0.6757,0.5135,0.1924,0.5666,0.6599,0.5333
What instrument is considered the forerunner of the modern bassoon?,The dulcian is generally considered the forerunner of the modern bassoon.,"The dulcian is generally considered the forerunner of the modern bassoon. The two instruments share many characteristics, such as a double reed fitted to a metal crook and a conical bore. The dulcian was used prior to 1760 to reinforce the bass line in wind ensembles.",0,0.8846,0.386,0.386,0.2121,0.6609,0.5055,0.4
Who was a notable bush lyricist and what were his years of birth and death?,Banjo Paterson (1864–1941) was a notable bush lyricist.,"I am sorry, but the provided context does not mention a specific notable bush lyricist. Therefore, I am unable to answer your question.",0,0.6196,0.25,0.25,0.0,0.3947,0.0293,0.2759
What influence did krautrock have on David Bowie?,Krautrock had a strong influence on David Bowie's Station to Station (1976) and the experimentation it inspired led to his 'Berlin Trilogy'.,Krautrock had a strong influence on David Bowie's Station to Station (1976). The experimentation inspired by krautrock led to his 'Berlin Trilogy'.,0,0.9903,0.913,0.913,0.6442,0.8558,0.8206,0.8718
How much of US record sales were from British acts in 1983?,"During 1983, 30% of the US record sales were from British acts.","In 1983, 30% of the US record sales were from British acts. On July 18, 1983, 18 singles in the top 40, and six in the top 10, were by British artists. Newsweek and Rolling Stone featured British artists on their covers.",0,0.8348,0.4074,0.4074,0.233,0.5923,0.649,0.5116
What is new wave considered to be?,New wave is considered a lighter and more melodic broadening of punk culture.,"New wave is regarded as a loose and wide-ranging term that is ""virtually meaningless."" It originated as a catch-all for the music that emerged after punk rock. The term encompassed disparate styles such as 2 Tone ska and synthpop.",0,0.7797,0.2222,0.2222,0.0,0.2733,0.2321,0.2727
What is Gqom 2.0?,"Gqom 2.0 is characterized by decelerated beats and incorporates elements of amapiano, afrohouse, and afrotech.","Gqom 2.0 is characterized by decelerated beats and incorporates elements of amapiano, afrohouse, and afrotech. It's a variation of the original Gqom style. Gqom 2.0 also exhibits a slower tempo.",0,0.931,0.6531,0.6531,0.4724,0.9005,0.7145,0.7368
"According to Pierre Schaeffer, what does the concealment of causes result from in acousmatic music?","According to Pierre Schaeffer, the concealment of causes does not result from a technical imperfection, nor is it an occasional process of variation: it becomes a precondition, a deliberate placing-in-condition of the subject.","According to Pierre Schaeffer, the concealment of causes in acousmatic music does not result from a technical imperfection, nor is it an occasional process of variation. Instead, it becomes a precondition, a deliberate placing-in-condition of the subject. The question then turns to what exactly the listener is hearing.",0,0.7119,0.8235,0.8235,0.5871,0.9087,0.7643,0.8
Which city is Interplanetary Criminal based in?,Interplanetary Criminal is a Manchester-based producer.,"I am sorry, but the provided context does not contain information about the city where Interplanetary Criminal is based.",0,0.6586,0.3077,0.3077,0.0,0.4033,0.2596,0.25
Describe how Stereogum characterized Wilder Maker's music in 2015.,"In 2015, Stereogum described Wilder Maker's music as ""cowboy pop that’s got one eye wandering toward outlaw territory and one fixed on catchy melodies.""","I am sorry, but the provided context does not contain information about Wilder Maker's music. Therefore, I cannot answer the question.",0,0.6079,0.1667,0.1667,0.0,0.1332,0.0831,0.0952
What is a cymbal choke and how is it performed?,A cymbal choke is a drumming technique in heavy metal where a cymbal is struck and then immediately silenced by grabbing it with the other hand (or the same striking hand).,"A cymbal choke is a drumming technique that involves striking a cymbal and then immediately silencing it. This is done by grabbing the cymbal with the other hand (or sometimes the same striking hand), producing a burst of sound.",0,0.9825,0.7429,0.6857,0.3252,0.7075,0.7622,0.6429
What are some characteristics that distinguish New Mexico music?,New Mexico music is distinguished by its bouncy and steady rhythm.,"New Mexico music is distinguished by its bouncy and steady rhythm. It is accompanied by instruments common in Pueblo, Western, Norteño, Apache, country, mariachi, and Navajo music. Its steadiness of rhythm owes its origins to the music of the Apache, Navajo, and Pueblo.",0,0.9021,0.4,0.4,0.2274,0.5625,0.5092,0.5
What is another name for rage music?,Rage is also known as rage rap or rage beats.,Rage music is also known as rage rap or rage beats. It is a microgenre of trap music.,0,0.8882,0.7143,0.7143,0.4625,0.9134,0.6836,0.6957
List some of the instruments the Baroque rackett blend with.,"The baroque rackett blends with violas da gamba, cornetti, historical keyboards, baroque recorders, and small baroque orchestras.","The Baroque rackett can blend with violas da gamba, cornetti, historical keyboards, baroque recorders, and small baroque orchestras. It sounds much like a dulcian or baroque bassoon.",0,0.9014,0.7727,0.7727,0.4732,0.8952,0.7579,0.7179
"Which song contains the Amen break, and who is the artist?","The Amen break is a drum break from The Winstons' song ""Amen, Brother"".","The Amen break is from The Winstons' song ""Amen, Brother"". It is widely regarded as one of the most widely used and sampled breaks among music using breakbeats.",0,0.8903,0.5366,0.4878,0.25,0.653,0.5944,0.5143
How did the Clash's music incorporate other genres?,"The Clash's album London Calling combined punk rock with reggae, ska, R&B, and rockabilly.","The Clash's music incorporated reggae, ska, R&B, and rockabilly. Their album *London Calling* combined these genres with punk rock. This album is acclaimed as one of the best rock records ever.",0,0.9222,0.6531,0.3673,0.1478,0.6511,0.6487,0.5581
What are the key elements of acid house's minimalist sound?,Acid house's minimalist sound combined house music's ubiquitous programmed four-on-the-floor 4/4 beat with the electronic squelch sound produced by the Roland TB-303 electronic synthesizer-sequencer.,"I am sorry, but the provided context does not describe the key elements of acid house's minimalist sound. It focuses on the emergence of minimal techno and its characteristics.",0,0.6673,0.2903,0.2258,0.0,0.182,0.0776,0.1702
What type of music is mallsoft often based on?,Mallsoft is often based on corporate lounge music.,"Mallsoft is often based on corporate lounge music. This subgenre aims to evoke images of shopping malls and other commercial spaces. It typically samples easy listening, bossa nova, and smooth jazz music.",0,0.9252,0.4,0.4,0.21,0.7632,0.4857,0.4211
Which EDM artists were successful in the 2010s?,"David Guetta, Skrillex, Steve Aoki, Swedish House Mafia, Headhunterz, Wildstylez, Da Tweekaz, Clean Bandit, Major Lazer, DVBBS, Avicii, Alesso, Owl City, The Chainsmokers, Calvin Harris, DJ Snake, Diplo, ShockOne, Drumsound & Bassline Smith, Blasterjaxx, Martin Garrix, Marshmello, Alan Walker and Zedd are some of the EDM artists who found success in the 2010s.","Some successful EDM artists in the 2010s include David Guetta, Skrillex, Steve Aoki, Swedish House Mafia, Headhunterz, Wildstylez, Da Tweekaz, Clean Bandit, Major Lazer, DVBBS, Avicii, Alesso, Owl City, The Chainsmokers, Calvin Harris, DJ Snake, Diplo, ShockOne, Drumsound & Bassline Smith, Blasterjaxx, Martin Garrix, Marshmello, Alan Walker, and Zedd. Also, prominent European disk jockeys during this decade were Avicii, Martin Garrix, Nicky Romero, Tiësto, Dimitri Vegas & Like Mike, Afrojack, Kygo, Mark Ronson, Calvin Harris, David Guetta and Zedd.",0,0.832,0.7231,0.6154,0.492,0.7835,0.6658,0.7167
